Rank,Country/Territory,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Growth Rate (2023)
36,Afghanistan,42010107,41128771,40374668,38972230,33753499,28189672,19542982,2.7
138,Albania,2834370,2842321,2869700,2866849,2882481,2913399,3182021,-0.35
34,Algeria,45466187,44903225,45061896,43451666,39543154,35856344,30774621,1.57
213,American Samoa,43914,44273,55100,46189,51368,54849,58230,-0.81
203,Andorra,80088,79824,77355,77700,71746,71519,66097,0.33
42,Angola,36457673,35588987,34566172,33428485,28127721,23364185,16394062,3.08
224,Anguilla,15899,15857,15117,15585,14525,13172,11047,0.26
201,Antigua_and_Barbuda,0,93763,0,92664,89941,85695,75055,0
33,Argentina,45715321,45510318,45847428,45036032,43257065,41100123,37070774,0.58
140,Armenia,2777970,2780469,2970929,2805608,2878595,2946293,3168523,-0.09
198,Aruba,106277,106445,107204,106585,104257,100341,89101,-0.16
55,Australia,26385697,26177413,25959987,25670051,23820236,22019168,19017963,1
99,Austria,8955099,8939617,9065484,8907777,8642421,8362829,8010428,0.22
91,Azerbaijan,10401711,10358074,10272912,10284951,9863480,9237202,8190337,0.53
176,Bahamas,411979,409984,399068,406471,392697,373272,325014,0.64
154,Bahrain,1482935,1472233,1775452,1477469,1362142,1213645,711442,0.9
8,Bangladesh,172595863,171186372,167247491,167420951,157830000,148391139,129193327,1.03
186,Barbados,281995,281635,287927,280693,278083,274711,264657,0.13
96,Belarus,9507248,9534954,9438767,9633740,9700609,9731427,10256483,-0.39
81,Belgium,11680348,11655930,11658404,11561717,11248303,10877947,10264343,0.26
177,Belize,409538,405272,409224,394921,359871,322106,240406,1.37
77,Benin,13638820,13352864,12644580,12643123,10932783,9445710,6998023,2.7
206,Bermuda,64069,64184,62090,64031,63144,63447,61371,-0.18
165,Bhutan,786137,782455,784855,772506,743274,705516,587207,0.64
80,Bolivia,12351889,12224110,11927124,11936162,11090085,10223270,8592656,1.35
137,Bosnia and Herzegovina,0,3233526,0,3318407,3524324,3811088,4179350,0
144,Botswana,2666342,2630296,2423535,2546402,2305171,2091664,1726985,1.71
7,Brazil,216169532,215313498,214832901,213196304,205188205,196353492,175873720,0.52
221,British_Virgin_Islands,0,31305,0,30910,29366,27556,20104,0
175,Brunei_Darussalam,451880,449002,443903,441725,421437,396053,333926,0.78
108,Bulgaria,6705093,6781953,6866274,6979175,7309253,7592273,8097691,-1.39
58,Burkina Faso,23132429,22673762,21847968,21522626,18718019,16116845,11882888,2.55
78,Burundi,13167125,12889576,12469663,12220227,10727148,9126605,6307659,2.71
73,Cambodia,16908144,16767842,17080063,16396860,15417523,14363532,12118841,1.06
53,Cameroon,28496059,27914536,27624492,26491087,23012646,19878036,15091594,2.63
39,Canada,38714362,38454327,38261228,37888705,35732126,33963412,30683313,0.85
171,Cape_Verde,597395,593149,565346,582640,552166,521212,458251,0.93
205,Cayman_Islands,69310,68706,66497,67311,60911,54074,39658,0.88
117,Central_African_Republic,5708207,5579144,4971922,5343020,4819333,4660067,3759170,2.92
69,Chad,18164016,17723315,17203787,16644701,14140274,11894727,8259137,3.13
65,Chile,19623798,19603733,19275294,19300315,17870124,17004162,15351799,0.13
1,China,1425744073,1425887337,1447065329,1424929781,1393715448,1348191368,1264099069,-0.02
28,Colombia,52033684,51874024,51504213,50930662,47119728,44816108,39215135,0.41
163,Comoros,848857,836774,899658,806166,730216,656024,536758,1.83
223,Cook_Islands,17044,17011,17565,17029,17695,17212,15897,0.19
124,Costa_Rica,5205094,5180829,5165346,5123105,4895242,4622252,3979193,0.6
130,Croatia,4013122,4030358,4067642,4096868,4254815,4368682,4548434,-0.54
85,Cuba,11198310,11212191,11312548,11300698,11339894,11290417,11105791,-0.16
189,Curacao,192077,191163,165229,189288,169572,159380,141424,0.48
158,Cyprus,1258207,1251488,1220541,1237537,1187280,1129686,948237,0.69
88,Czech_Republic,10493364,10493986,10732960,10530953,10523798,10464749,10234710,0.01
115,Denmark,5905121,5882261,5825798,5825641,5677796,5550849,5340655,0.49
160,Djibouti,1133237,1120849,1010377,1090156,1006259,919199,742033,1.39
204,Dominica,73040,72737,72167,71995,70007,68755,68346,0.42
84,Dominican Republic,11312378,11228821,11015774,10999664,10405832,9775755,8540791,0.93
15,Democratic_Republic_of_the_Congo,0,99010212,0,92853164,78656904,66391257,48616317,0
67,Ecuador,18151871,18001000,18033738,17588595,16195902,14989585,12626507,1.05
14,Egypt,112362003,110990103,105390688,107465134,97723799,87252413,71371371,1.56
112,El_Salvador,6358508,6336392,6537250,6292731,6231066,6114034,5958482,0.45
152,Equatorial Guinea,1706305,1674908,1477483,1596049,1346973,1094524,684977,2.37
132,Eritrea,3735386,3684032,3633796,3555868,3340006,3147727,2392880,1.76
156,Estonia,1323409,1326062,1324323,1329444,1314657,1331535,1396877,-0.25
159,Eswatini,0,1201670,0,1180655,1133936,1099920,1030496,0
12,Ethiopia,125878364,123379924,119590501,117190911,102471895,89237791,67031867,2.55
231,Falkland_Islands,3791,3780,3533,3747,3408,3187,3080,0.29
209,Faroe_Islands,53270,53090,49049,52415,48816,48410,45660,0.34
162,Fiji,935088,929766,906570,920422,917200,905169,832509,0.71
118,Finland,5544831,5540745,5553102,5529468,5479461,5363271,5176209,0.09
23,France,64730842,64626628,65520147,64480053,63809769,62444567,58665453,0.2
184,French_Guiana,0,304557,0,290969,257026,228453,164351,0
